,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Avarua,-21.21,-159.78,80.6,74,2,10.29,CK,1607579715
1,Cody,44.53,-109.06,39.99,44,1,11.41,US,1607579716
2,Saint Paul Harbor,57.79,-152.41,28.4,63,1,13.87,US,1607579716
3,Bengkulu,-3.8,102.27,83.71,72,43,13.02,ID,1607579644
4,Mataura,-46.19,168.86,55.99,86,63,11.99,NZ,1607579716
5,Innisfail,-17.53,146.03,83.35,67,57,8.39,AU,1607579717
6,Butaritari,3.07,172.79,82.56,76,29,8.52,KI,1607579717
7,Ostrovnoy,68.05,39.51,26.51,95,27,26.73,RU,1607579717
8,Port Alfred,-33.59,26.89,68.31,78,100,5.64,ZA,1607579717
9,Beringovskiy,63.05,179.32,24.49,93,92,9.42,RU,1607579718
10,Paamiut,61.99,-49.67,26.38,73,0,5.39,GL,1607579718
11,Norman Wells,65.28,-126.83,-0.4,84,40,5.82,CA,1607579718
12,Vaini,-21.2,-175.2,80.6,78,20,11.41,TO,1607579718
13,Rikitea,-23.12,-134.97,76.86,81,51,14.92,PF,1607579718
14,Sisimiut,66.94,-53.67,20.79,88,54,10.63,GL,1607579719
15,Punta Arenas,-53.15,-70.92,44.6,87,0,2.24,CL,1607579719
16,Mar del Plata,-38.0,-57.56,62.01,93,0,2.24,AR,1607579565
17,Hobart,-42.88,147.33,59.0,38,40,18.34,AU,1607579632
18,Siguiri,11.67,-9.5,68.79,36,34,2.28,GN,1607579720
19,Moerai,-22.43,-151.33,79.12,79,32,12.8,PF,1607579720
20,Kapaa,22.08,-159.32,75.2,88,40,8.05,US,1607579721
21,Albany,42.6,-73.97,34.0,80,89,9.24,US,1607579499
22,Hithadhoo,-0.6,73.08,82.38,69,63,9.84,MV,1607579721
23,Isangel,-19.55,169.27,80.71,81,99,14.65,VU,1607579722
24,Qaanaaq,77.48,-69.36,4.86,88,100,5.06,GL,1607579722
25,Vostok,46.49,135.88,17.47,96,95,3.69,RU,1607579722
26,Yeppoon,-23.13,150.73,86.0,40,11,10.29,AU,1607579723
27,Takoradze,4.88,-1.76,77.97,89,9,8.34,GH,1607579723
28,Bilma,18.69,12.92,71.19,22,46,9.84,NE,1607579723
29,Ushuaia,-54.8,-68.3,42.8,100,40,10.29,AR,1607579478
30,Brainerd,46.36,-94.2,30.99,86,1,5.12,US,1607579464
31,Sitka,57.05,-135.33,42.8,60,90,13.87,US,1607579724
32,Bluefields,12.01,-83.76,73.45,83,68,10.04,NI,1607579724
33,Samarai,-10.62,150.67,84.16,71,57,9.13,PG,1607579724
34,Hamilton,39.18,-84.53,41.0,86,1,3.36,US,1607579478
35,Nouadhibou,20.93,-17.03,60.8,77,0,17.22,MR,1607579724
36,Evensk,61.95,159.23,15.24,96,100,14.79,RU,1607579725
37,Cape Town,-33.93,18.42,66.99,88,20,9.17,ZA,1607579725
38,Vila Velha,-20.33,-40.29,73.4,94,90,6.93,BR,1607579725
39,Bathsheba,13.22,-59.52,77.0,94,40,8.05,BB,1607579725
40,Provideniya,64.38,-173.3,10.4,66,40,6.71,RU,1607579726
41,Fortuna,40.6,-124.16,46.99,96,21,1.99,US,1607579726
42,Bluff,-46.6,168.33,55.99,86,61,11.99,NZ,1607579727
43,Kandrian,-6.22,149.55,84.07,73,100,3.51,PG,1607579728
44,Hasaki,35.73,140.83,50.0,93,75,13.87,JP,1607579728
45,Opuwo,-18.06,13.84,71.4,21,77,2.24,NA,1607579728
46,Hilo,19.73,-155.09,73.4,78,1,3.36,US,1607579728
47,Hermanus,-34.42,19.23,69.01,81,0,2.84,ZA,1607579728
48,Lebu,-37.62,-73.65,51.46,85,0,7.27,CL,1607579729
49,Mukdahan,16.58,104.5,82.4,48,4,4.7,TH,1607579729
50,Muros,42.78,-9.06,59.0,91,99,1.01,ES,1607579729
51,Busselton,-33.65,115.33,90.0,30,45,10.0,AU,1607579729
52,Ponta do Sol,32.67,-17.1,60.8,77,75,6.93,PT,1607579730
53,Awjilah,29.11,21.29,56.44,49,0,10.45,LY,1607579730
54,Ambunti,-4.24,142.84,81.43,93,97,2.55,PG,1607579730
55,Amapá,1.0,-52.0,71.42,98,50,2.06,BR,1607579730
56,Pevek,69.7,170.31,-8.59,91,7,5.93,RU,1607579731
57,Shimoda,34.67,138.95,55.4,76,20,3.36,JP,1607579731
58,San Juan Bautista,-14.01,-75.74,64.99,88,0,11.41,PE,1607579731
59,Yerbogachën,61.28,108.01,-15.07,88,100,1.92,RU,1607579731
60,Carnarvon,-24.87,113.63,80.6,65,36,17.22,AU,1607579732
61,Upernavik,72.79,-56.15,23.86,95,100,7.61,GL,1607579732
62,Los Llanos de Aridane,28.66,-17.92,64.4,82,75,10.29,ES,1607579732
63,Virginia Beach,36.85,-75.98,39.2,64,1,6.93,US,1607579733
64,Cabra,37.47,-4.44,48.99,83,99,6.02,ES,1607579733
65,Kruisfontein,-34.0,24.73,64.99,94,100,3.0,ZA,1607579733
66,Manaia,-39.55,174.13,64.0,77,10,15.01,NZ,1607579733
67,Jamestown,42.1,-79.24,37.0,98,90,9.17,US,1607579455
68,Puerto Carreño,6.19,-67.49,75.74,89,52,3.36,CO,1607579734
69,Vågåmo,61.88,9.1,26.35,93,99,4.56,NO,1607579734
